name,question,answer
1: Nenokkadine,What is the duration of the leaked footage of the movie 1: Nenokkadine?,90 minutes
1: Nenokkadine,How many minutes of extra footage was added to the movie 1: Nenokkadine?,3 minutes
1: Nenokkadine,What was the worldwide gross collection of the movie 1: Nenokkadine?,130 crores
1: Nenokkadine,When was the movie 1: Nenokkadine initially finalized to release?,10 October 2013
1: Nenokkadine,Who made their debut in the Telugu film industry with the movie 1: Nenokkadine?,Boman Irani
name,question,answer
Movie,What is the duration of the leaked footage from the movie?,90 minutes
Movie,How many minutes of extra footage were added to the movie?,3 minutes
Movie,What was the worldwide gross collection of the movie?,130 crores
Movie,Who made their debut in the Telugu film industry with this movie?,Boman Irani
name,question,answer
Attarintiki Daredi,How many minutes of the film were leaked to the Internet before its release?,90 minutes
Attarintiki Daredi,How many minutes of extra footage were added to the movie after its 50th day?,3 minutes
Attarintiki Daredi,How much gross did the movie collect from worldwide?,130 crores
Attarintiki Daredi,When was the movie finally released?,27 September 2013
name,question,answer
Attarintiki Daredi,How much extra footage was added to the movie?,3 minutes
Attarintiki Daredi,How much did the movie collect worldwide?,130 crores
Attarintiki Daredi,What was the initial release date?,10 October
Attarintiki Daredi,When was the release date advanced to?,27 September
Attarintiki Daredi,Why was the release date advanced?,Piracy
Attarintiki Daredi,How much did the set cost?,30 million
name,question,answer
Athadu,What was the first movie in combination of actor Mahesh Babu and director Trivikram Srinivas?,Athadu
Athadu,In which year did Athadu become a sensational hit in Tollywood?,2005
Athadu,Which country was the first to dub Athadu in its language?,Poland
Athadu,What prestigious award did Mahesh Babu receive for his acting in Athadu?,Nandi
Athadu,Which company released the DVD version of Athadu?,Aditya Music
Athadu,How many days was the climax fight sequence of Athadu shot for?,30 days
Athadu,How many cameras were used to shoot the big freeze shots in Athadu?,120 cameras
